year,country,sex,name,count,prop,ranking,rank_other
1997,W,M,TYLER,57,0.00321870235473488,70,58
1997,W,M,EDWARD,54,0.00304929696764357,73,43
1997,W,M,STEPHEN,54,0.00304929696764357,73,67
1997,W,M,DOMINIC,53,0.0029928285052798,75,50
1997,W,M,JAY,50,0.00282342311818849,76,84
1997,W,M,ELLIOT,49,0.00276695465582472,77,61
1997,W,M,JASON,46,0.00259754926873341,78,72
1997,W,M,GETHIN,45,0.00254108080636964,79,
1997,W,M,LOUIS,45,0.00254108080636964,79,52
1997,W,M,MATHEW,45,0.00254108080636964,79,150
1997,W,M,CAI,44,0.00248461234400587,82,807
1997,W,M,CHARLIE,44,0.00248461234400587,82,35
1997,W,M,JAC,44,0.00248461234400587,82,657
1997,W,M,JOE,43,0.0024281438816421,85,48
1997,W,M,PETER,42,0.00237167541927833,86,62
1997,W,M,HUW,41,0.00231520695691456,87,404
1997,W,M,IWAN,41,0.00231520695691456,87,807
1997,W,M,MARK,41,0.00231520695691456,87,63
1997,W,M,PAUL,41,0.00231520695691456,87,77
1997,W,M,TOMAS,40,0.00225873849455079,91,243
1997,W,M,HARRISON,39,0.00220227003218702,92,76
1997,W,M,NIALL,38,0.00214580156982325,93,115
1997,W,M,CALUM,37,0.00208933310745948,94,98
1997,W,M,OSIAN,37,0.00208933310745948,94,1501
1997,W,M,PATRICK,37,0.00208933310745948,94,66
1997,W,M,CORY,36,0.00203286464509571,97,171
1997,W,M,CRAIG,36,0.00203286464509571,97,94
1997,W,M,EVAN,35,0.00197639618273194,99,201
1997,W,M,LEE,35,0.00197639618273194,99,73
1998,E,F,CHLOE,9014,0.0307002755327591,1,1
1998,E,F,EMILY,6177,0.0210378968233695,2,2
1998,E,F,MEGAN,5886,0.0200467962930797,3,3
1998,E,F,JESSICA,5374,0.018303004294769,4,4
1998,E,F,SOPHIE,5358,0.0182485107948218,5,5
1998,E,F,CHARLOTTE,5234,0.0178261861702309,6,18
1998,E,F,HANNAH,4741,0.0161471052031075,7,6
1998,E,F,LAUREN,4660,0.0158712318596247,8,8
1998,E,F,REBECCA,4534,0.0154420955475405,9,13
1998,E,F,LUCY,4295,0.014628098892079,10,14
1998,E,F,AMY,4110,0.0139980177989394,11,17
1998,E,F,GEORGIA,4011,0.0136608392680161,12,11
1998,E,F,BETHANY,3983,0.0135654756431084,13,37
1998,E,F,KATIE,3813,0.0129864822061693,14,9
1998,E,F,OLIVIA,3409,0.0116105213325023,15,20
1998,E,F,EMMA,3408,0.0116071154887556,16,19
1998,E,F,COURTNEY,2945,0.0100302098340332,17,7
1998,E,F,SHANNON,2697,0.00918556058485149,18,16
1998,E,F,ELEANOR,2667,0.00908338527245047,19,56
1998,E,F,ELLIE,2376,0.0080922847421606,20,23
1998,E,F,ABIGAIL,2375,0.0080888788984139,21,27
1998,E,F,JADE,2373,0.0080820672109205,22,21
1998,E,F,MOLLY,2305,0.00785046983614486,23,28
1998,E,F,HOLLY,2302,0.00784025230490476,24,23
1998,E,F,LAURA,2192,0.00746560949276769,25,29
1998,E,F,ALICE,2073,0.00706031408691032,26,44
1998,E,F,SARAH,1973,0.00671972971224026,27,35
1998,E,F,RACHEL,1776,0.00604877849414025,28,26
1998,E,F,CAITLIN,1755,0.00597725577545953,29,15
1998,E,F,ELIZABETH,1653,0.00562985971329607,30,70
1998,E,F,AMBER,1633,0.00556174283836206,31,44
1998,E,F,PAIGE,1597,0.00543913246348084,32,32
1998,E,F,GEORGINA,1577,0.00537101558854683,33,75
1998,E,F,GRACE,1527,0.0052007234012118,34,57
1998,E,F,DANIELLE,1514,0.00515644743250469,35,38
1998,E,F,NICOLE,1500,0.00510876562005088,36,39
1998,E,F,NATASHA,1475,0.00502361952638337,37,47
1998,E,F,ELLA,1473,0.00501680783888997,38,49
1998,E,F,CHELSEA,1393,0.00474434033915392,39,22
1998,E,F,LEAH,1357,0.0046217299642727,40,23
1998,E,F,VICTORIA,1352,0.0046047007455392,41,70
1998,E,F,ANNA,1327,0.00451955465187168,42,52
1998,E,F,PHOEBE,1312,0.00446846699567117,43,55
1998,E,F,SAMANTHA,1273,0.00433563908954985,44,41
1998,E,F,ZOE,1270,0.00432542155830975,45,42
1998,E,F,ALEXANDRA,1236,0.00420962287092193,46,57
1998,E,F,JASMINE,1217,0.00414491183973462,47,64
1998,E,F,AMELIA,1202,0.00409382418353411,48,72
1998,E,F,LOUISE,1058,0.00360338268400922,49,82
1998,E,F,NATALIE,1035,0.00352504827783511,50,75
1998,E,F,FRANCESCA,1030,0.00350801905910161,51,128
1998,E,F,LYDIA,1030,0.00350801905910161,51,62
1998,E,F,ABBIE,1006,0.00342627880918079,53,48
1998,E,F,MELISSA,972,0.00331048012179297,54,91
1998,E,F,KATHERINE,965,0.00328663921556607,55,91
1998,E,F,IMOGEN,915,0.00311634702823104,56,104
1998,E,F,HARRIET,908,0.00309250612200413,57,91
1998,E,F,JODIE,892,0.00303801262205693,58,78
1998,E,F,GEMMA,869,0.00295967821588281,59,68
1998,E,F,KAYLEIGH,846,0.0028813438097087,60,40
1998,E,F,LILY,842,0.0028677204347219,61,102
1998,E,F,JENNIFER,833,0.00283706784100159,62,113
1998,E,F,DAISY,815,0.00277576265356098,63,117
1998,E,F,STEPHANIE,798,0.00271786330986707,64,78
1998,E,F,NIAMH,795,0.00270764577862697,65,84
1998,E,F,MILLIE,785,0.00267358734115996,66,104
1998,E,F,KATE,775,0.00263952890369296,67,43
1998,E,F,ROSIE,770,0.00262249968495945,68,159
1998,E,F,AIMEE,747,0.00254416527878534,69,51
1998,E,F,HOLLIE,745,0.00253735359129194,70,83
1998,E,F,KIRSTY,739,0.00251691852881174,71,59
1998,E,F,JORDAN,735,0.00250329515382493,72,87
1998,E,F,MOLLIE,729,0.00248286009134473,73,99
1998,E,F,MIA,696,0.00237046724770361,74,113
1998,E,F,ALISHA,688,0.00234322049773001,75,64
1998,E,F,ISOBEL,675,0.0022989445290229,76,104
1998,E,F,ELLEN,667,0.00227169777904929,77,117
1998,E,F,TIA,637,0.00216952246664828,78,49
1998,E,F,ERIN,626,0.00213205818543457,79,59
1998,E,F,ALICIA,623,0.00212184065419447,80,91
1998,E,F,CATHERINE,610,0.00207756468548736,81,95
1998,E,F,SIAN,610,0.00207756468548736,81,64
1998,E,F,ASHLEIGH,605,0.00206053546675386,83,72
1998,E,F,MADELEINE,595,0.00202647702928685,84,303
1998,E,F,ISABELLA,583,0.00198560690432644,85,205
1998,E,F,SOPHIA,578,0.00196857768559294,86,150
1998,E,F,ISABELLE,576,0.00196176599809954,87,136
1998,E,F,RHIANNON,567,0.00193111340437923,88,32
1998,E,F,YASMIN,549,0.00186980821693862,89,167
